taxon_name,taxon_link
Foreign affairs,https://www.gov.uk/international/foreign-affairs
Tourism,https://www.gov.uk/society-and-culture/tourism
Limited companies and partnerships,https://www.gov.uk/business-and-industry/limited-companies-and-partnerships
Manufacturing,https://www.gov.uk/business-and-industry/manufacturing
Planning and building,https://www.gov.uk/housing-local-and-community/planning-and-building
"Import, export and distribution of food",https://www.gov.uk/environment/producing-distributing-food-import-export
Support services for military and defence personnel and their families,https://www.gov.uk/defence/support-services-military-defence-personnel-families
UK economic growth,https://www.gov.uk/business/uk-economic-growth
Commodity codes and reporting,https://www.gov.uk/business/business-exports-commodity-codes-and-reporting
Tax agent and adviser guidance,https://www.gov.uk/money/tax-agent-guidance
Animal welfare,https://www.gov.uk/environment/animal-welfare
Universal Credit,https://www.gov.uk/welfare/universal-credit
Freight and cargo,https://www.gov.uk/transport/freight-and-cargo
Armed forces and Ministry of Defence reform,https://www.gov.uk/defence/armed-forces-and-ministry-of-defence-reform
Sports participation,https://www.gov.uk/society-and-culture/sports-participation
Exporting,https://www.gov.uk/business-and-industry/exporting
Recruiting and hiring,https://www.gov.uk/employment/recruiting-hiring
Economic growth in developing countries,https://www.gov.uk/international/economic-growth-in-developing-countries
Business tax,https://www.gov.uk/money/business-tax
Waste and environmental impact,https://www.gov.uk/environment/waste-environment
Running a business,https://www.gov.uk/business-and-industry/running-a-business
Health and safety at work,https://www.gov.uk/work/health-safety-at-work
Health in developing countries,https://www.gov.uk/international/health-in-developing-countries
"Vehicle ownership, approval and standards",https://www.gov.uk/transport/vehicle-ownership-approval-and-standards
"Road safety, driving rules and penalties",https://www.gov.uk/transport/road-safety-driving-rules-and-penalties
Law and practice,https://www.gov.uk/crime-justice-and-law/law-practice
Air accidents and serious incidents,https://www.gov.uk/transport/air-accidents-and-serious-incidents
Poverty and social justice,https://www.gov.uk/society-and-culture/poverty-and-social-justice
Health and social care,https://www.gov.uk/health-and-social-care
Disability equipment and transport,https://www.gov.uk/health-and-social-care/disabilities-equipment
"Government efficiency, transparency and accountability",https://www.gov.uk/government/government-efficiency-transparency-and-accountability
Your rights at work and trade unions,https://www.gov.uk/employment/rights-trade-unions
Education in developing countries,https://www.gov.uk/international/education-in-developing-countries
Scientific research and development,https://www.gov.uk/business-and-industry/scientific-research-and-development
Competition law,https://www.gov.uk/business/competition-law
Recruiting and hiring,https://www.gov.uk/business-and-industry/recruiting-hiring
Gambling regulation,https://www.gov.uk/business/gambling-regulation
Healthy eating,https://www.gov.uk/health-and-social-care/healthy-eating
Benefits entitlement,https://www.gov.uk/welfare/entitlement
"Neighbours, noise and pests",https://www.gov.uk/housing-local-and-community/neighours-noise-pests
Marine fisheries,https://www.gov.uk/environment/marine-fisheries
Keeping farmed animals,https://www.gov.uk/environment/keeping-farmed-animals
Commodity codes and reporting,https://www.gov.uk/business/business-imports-commodity-codes-and-reporting
Finding a job,https://www.gov.uk/employment/finding-job
Fire prevention and rescue,https://www.gov.uk/government/fire-prevention-and-rescue
National Lottery funding,https://www.gov.uk/society-and-culture/national-lottery-funding
"Medicines, medical devices",https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood
Communications and telecomms,https://www.gov.uk/business/communications-and-telecomms
Government technology and digital services,https://www.gov.uk/government/government-technology-and-digital-services
Marine,https://www.gov.uk/environment/marine
Reporting crimes and getting compensation,https://www.gov.uk/crime-justice-and-law/reporting-crimes-compensation
Get goods through customs,https://www.gov.uk/business/business-tax-import-export-get-goods-through-customs
"Having a child, parenting and adoption",https://www.gov.uk/life-circumstances/child-adoption
Roads and the environment,https://www.gov.uk/transport/roads-and-the-environment
School curriculum,https://www.gov.uk/education/school-curriculum
Young people,https://www.gov.uk/society-and-culture/young-people
International defence commitments,https://www.gov.uk/defence/international-defence-commitments
Rural economy and community,https://www.gov.uk/environment/rural-economy-and-community
Dealing with HMRC,https://www.gov.uk/money/dealing-with-hmrc
Corporate governance,https://www.gov.uk/business-and-industry/corporate-governance
Business regulation,https://www.gov.uk/business-and-industry/business-regulation
"Holidays, time off, sick leave, maternity and paternity leave",https://www.gov.uk/employment/time-off
Hunger and malnutrition in developing countries,https://www.gov.uk/international/hunger-and-malnutrition-in-developing-countries
Social care,https://www.gov.uk/health-and-social-care/social-care
Business tax reform,https://www.gov.uk/money/business-tax-reform
"Parenting, childcare and children's services",https://www.gov.uk/childcare-parenting
Civil service reform,https://www.gov.uk/government/civil-service-reform
Social mobility,https://www.gov.uk/society-and-culture/social-mobility
Financial services,https://www.gov.uk/business-and-industry/financial-services
Patient safety,https://www.gov.uk/health-and-social-care/patient-safety
Immigration offences,https://www.gov.uk/entering-staying-uk/immigration-offences
Women and girls in developing countries,https://www.gov.uk/international/women-and-girls-in-developing-countries
Designs,https://www.gov.uk/business/designs
"Military equipment, logistics and technology",https://www.gov.uk/defence/military-equipment-logistics-technology
Violence against women and girls,https://www.gov.uk/crime-justice-and-law/violence-against-women-and-girls
Business premises and business rates,https://www.gov.uk/business/premises-rates
Policing,https://www.gov.uk/crime-justice-and-law/policing
Local government,https://www.gov.uk/regional-and-local-government/local-government
Personal tax reform,https://www.gov.uk/money/personal-tax-reform
Victims of crime,https://www.gov.uk/crime-justice-and-law/victims-of-crime
Criminal record disclosure,https://www.gov.uk/crime-justice-and-law/criminal-record-disclosure
Government spending,https://www.gov.uk/government/government-spending
Business and the environment,https://www.gov.uk/business-and-industry/business-and-the-environment
Overseas aid effectiveness,https://www.gov.uk/international/overseas-aid-effectiveness
Biodiversity and ecosystems,https://www.gov.uk/environment/biodiversity-and-ecosystems
Passports,https://www.gov.uk/going-and-being-abroad/passports
Rights of foreign nationals in the UK,https://www.gov.uk/entering-staying-uk/rights-foreign-nationals-uk
Radioactive and nuclear substances and waste,https://www.gov.uk/environment/radioactive-and-nuclear-substances-and-waste
Gambling duties,https://www.gov.uk/money/gambling-duties
Inspections and performance of education providers,https://www.gov.uk/education/inspections-and-performance-of-education-providers
Road freight,https://www.gov.uk/transport/road-freight
Forests and woodland,https://www.gov.uk/environment/forests-and-woodland
Transport security,https://www.gov.uk/transport/transport-security
Alcohol duties,https://www.gov.uk/money/alcohol-duties
Animals on roads,https://www.gov.uk/transport/animals-on-roads
Prisons and probation,https://www.gov.uk/crime-justice-and-law/prisons-probation
Justice system transparency,https://www.gov.uk/crime-justice-and-law/justice-system-transparency
"Marketing authorisations, variations and licensing guidance",https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-marketing-authorisations-variations-licensing
Labour market reform,https://www.gov.uk/employment/labour-market-reform
Business,https://www.gov.uk/money/personal-tax-capital-gains-tax-business
Industrial strategy,https://www.gov.uk/business-and-industry/industrial-strategy
"Customs declarations, duties and tariffs (import and export)",https://www.gov.uk/business-and-industry/customs-declarations-duties-tariffs
Intellectual property,https://www.gov.uk/business/intellectual-property
Europe,https://www.gov.uk/government/europe
Pets,https://www.gov.uk/environment/pets
Designs,https://www.gov.uk/crime-justice-and-law/intellectual-property-law-practice-designs
Research and development,https://www.gov.uk/business-and-industry/research-and-development
Wildlife and habitat conservation,https://www.gov.uk/environment/wildlife-habitat-conservation
Employing people,https://www.gov.uk/business-and-industry/employing-people
Older people,https://www.gov.uk/employment/older-people
Trade marks,https://www.gov.uk/business/trade-marks
Welfare reform,https://www.gov.uk/welfare/welfare-reform
Access to financial services,https://www.gov.uk/business/access-to-financial-services
Competition,https://www.gov.uk/business/competition
"Knife, gun and gang crime",https://www.gov.uk/crime-justice-and-law/knife-gun-and-gang-crime
Support services for veterans and their families,https://www.gov.uk/defence/support-services-veterans-families
Travel abroad,https://www.gov.uk/going-and-being-abroad/travel-abroad
Local transport,https://www.gov.uk/transport/local-transport
Children's health,https://www.gov.uk/childcare-parenting/childrens-health
Copyright,https://www.gov.uk/crime-justice-and-law/intellectual-property-law-practice-copyright
Armed Forces Covenant,https://www.gov.uk/defence-and-armed-forces/armed-forces-covenant
"Further and higher education, skills and vocational training",https://www.gov.uk/education/further-and-higher-education-skills-and-vocational-training
Legal aid,https://www.gov.uk/crime-justice-and-law/legal-aid-for-providers
Maritime and shipping,https://www.gov.uk/transport/maritime-and-shipping
Coal,https://www.gov.uk/environment/coal
National Health Service,https://www.gov.uk/health-and-social-care/national-health-service
Copyright,https://www.gov.uk/business/copyright
Carers and disability benefits,https://www.gov.uk/welfare/disability
Pollution and environmental quality,https://www.gov.uk/environment/pollution-and-environmental-quality
Living abroad,https://www.gov.uk/going-and-being-abroad/living-abroad
"Preventing neglect, abuse and exploitation",https://www.gov.uk/childcare-parenting/preventing-neglect-abuse-and-exploitation
2012 Olympic and Paralympic legacy,https://www.gov.uk/society-and-culture/2012-olympic-and-paralympic-legacy
Importing,https://www.gov.uk/business-and-industry/importing
Social action,https://www.gov.uk/society-and-culture/social-action
Transport,https://www.gov.uk/transport
Import controls,https://www.gov.uk/business-and-industry/import-controls
PAYE,https://www.gov.uk/money/paye
Self-employment,https://www.gov.uk/employment/self-employed
Inspection and performance of schools,https://www.gov.uk/education/inspection-and-performance-of-schools
Legal aid reform,https://www.gov.uk/crime-justice-and-law/legal-aid-reform
Human rights internationally,https://www.gov.uk/international/human-rights-internationally
Pensions and ageing society,https://www.gov.uk/employment/pensions-and-ageing-society
Meat production,https://www.gov.uk/environment/producing-distributing-food-meat-production
Transport planning,https://www.gov.uk/transport/transport-planning
Regulation reform,https://www.gov.uk/business-and-industry/regulation-reform
"Recycling, rubbish, streets and roads",https://www.gov.uk/housing-local-and-community/recycling-rubbish
Marine environment,https://www.gov.uk/environment/marine-environment
Aviation safety and security,https://www.gov.uk/transport/aviation-safety-and-security
Tax evasion and avoidance,https://www.gov.uk/money/tax-evasion-and-avoidance
Contracts and working hours,https://www.gov.uk/employment/contract-working-hours
Energy industry and infrastructure licensing and regulation,https://www.gov.uk/business-and-industry/energy-industry-and-infrastructure-licensing-and-regulation
Work and disabled people,https://www.gov.uk/employment/work
Loneliness,https://www.gov.uk/society-and-culture/loneliness
Adult and community learning,https://www.gov.uk/education/adult-and-community-learning
Waste and recycling,https://www.gov.uk/environment/waste-and-recycling
Fishing quota and catch limits,https://www.gov.uk/environment/fishing-quota-and-catch-limits
UK Overseas Territories,https://www.gov.uk/international/government-topics-foreign-affairs-uk-overseas-territories
Charities and social enterprises,https://www.gov.uk/business-and-industry/charities-and-social-enterprises
Overseas aid transparency,https://www.gov.uk/international/overseas-aid-transparency
HGV and goods carriage vehicle licensing,https://www.gov.uk/transport/hgv-and-goods-carriage-vehicle-licensing
"Oil, gas and coal",https://www.gov.uk/environment/oil-gas-coal
"Spiritual, moral, social and cultural development",https://www.gov.uk/education/spiritual-moral-social-and-cultural-development
"Pupil wellbeing, behaviour and attendance",https://www.gov.uk/education/pupil-wellbeing-behaviour-and-attendance
Food labelling and safety,https://www.gov.uk/environment/producing-distributing-food-food-labelling
Water and sanitation in developing countries,https://www.gov.uk/international/water-and-sanitation-in-developing-countries
Teaching and leadership,https://www.gov.uk/education/teaching-and-leadership
Death and bereavement,https://www.gov.uk/life-circumstances/death
Brexit,https://www.gov.uk/government/brexit
Library services,https://www.gov.uk/society-and-culture/library-services
UK energy security,https://www.gov.uk/business/uk-energy-security
School trips and extracurricular activity,https://www.gov.uk/education/school-trips-and-extracurricular-activity
Ministry of Defence estate,https://www.gov.uk/defence/ministry-of-defence-estate
Sea fishing,https://www.gov.uk/environment/environmental-management-marine-sea-fishing
Child Benefit,https://www.gov.uk/welfare/child-benefit
Self Assessment,https://www.gov.uk/money/self-assessment
Careers guidance in further and higher education,https://www.gov.uk/education/careers-guidance-in-further-and-higher-education
Criminal justice reform,https://www.gov.uk/crime-justice-and-law/criminal-justice-reform
Emissions and emissions trading,https://www.gov.uk/environment/climate-change-energy-emissions
Government funding programmes,https://www.gov.uk/government/funding-programmes
Armed forces support for activities in the UK,https://www.gov.uk/defence-and-armed-forces/armed-forces-support-for-activities-in-the-uk
Competition Act and cartels,https://www.gov.uk/business/competition-competition-act-cartels
Household energy,https://www.gov.uk/housing-local-and-community/household-energy
Alcohol licensing,https://www.gov.uk/business-and-industry/alcohol-sales
Consumer protection,https://www.gov.uk/business/competition-consumer-protection
"Vigilance, safety alerts and guidance",https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-vigilance-safety-alerts
Set up or convert to an academy,https://www.gov.uk/education/set-up-or-convert-to-an-academy
Smoking,https://www.gov.uk/health-and-social-care/smoking
Rail,https://www.gov.uk/transport/rail
Northern Ireland political stability,https://www.gov.uk/regional-and-local-government/northern-ireland-political-stability
Producing and distributing food,https://www.gov.uk/environment/producing-distributing-food
"Housing, local and community",https://www.gov.uk/housing-local-and-community
Markets,https://www.gov.uk/business/competition-markets
Vans and minibuses,https://www.gov.uk/transport/vans-and-minibuses
"Personal, social, health and economic education",https://www.gov.uk/education/personal-social-health-and-economic-education
Wildlife and animal welfare,https://www.gov.uk/environment/wildlife-and-animal-welfare
Protected sites and species,https://www.gov.uk/environment/protected-sites-species
Construction Industry Scheme (CIS),https://www.gov.uk/money/construction-industry-scheme
Housing for older and vulnerable people,https://www.gov.uk/housing-local-and-community/housing-for-older-and-vulnerable-people
Children's health and welfare,https://www.gov.uk/childcare-parenting/childrens-health-and-welfare
Export controls and licensing,https://www.gov.uk/business-and-industry/export-controls
Greenhouse gas emissions,https://www.gov.uk/environment/greenhouse-gas-emissions
Patents,https://www.gov.uk/business/patents
Aviation,https://www.gov.uk/transport/aviation
Inland waterways,https://www.gov.uk/transport/inland-waterways
School buildings and land,https://www.gov.uk/education/school-buildings-and-land
Jobseeker's Allowance and low income benefits,https://www.gov.uk/welfare/jobseekers-allowance
Driving and road transport,https://www.gov.uk/transport/driving-and-road-transport
Marine protection and wildlife,https://www.gov.uk/environment/environmental-management-marine-marine-protection-and-wildlife
Drug misuse and dependency,https://www.gov.uk/health-and-social-care/drug-misuse-and-dependency
Carers' health,https://www.gov.uk/health-and-social-care/carers-health
"UK prosperity and security: Asia, Latin America and Africa",https://www.gov.uk/international/uk-prosperity-and-security-asia-latin-america-and-africa
Economic growth in rural areas,https://www.gov.uk/environment/economic-growth-in-rural-areas
Fleet management,https://www.gov.uk/transport/fleet-management
Crops and horticulture,https://www.gov.uk/environment/producing-distributing-food-crops-horticulture
Mergers,https://www.gov.uk/business/competition-mergers
UK nuclear deterrent,https://www.gov.uk/defence-and-armed-forces/uk-nuclear-deterrent
Children and young people leaving care,https://www.gov.uk/childcare-parenting/children-and-young-people-leaving-care
"Your pay, tax and the National Minimum Wage",https://www.gov.uk/employment/tax-minimum-wage
Fish and shellfish,https://www.gov.uk/environment/environmental-management-wildlife-habitat-conservation-fish-and-shellfish
Benefits for families,https://www.gov.uk/welfare/families
Low carbon technologies,https://www.gov.uk/environment/low-carbon-technologies
Planning permission and appeals,https://www.gov.uk/housing-local-and-community/planning-permission-appeals
Weapons proliferation,https://www.gov.uk/defence-and-armed-forces/weapons-proliferation
Reoffending and rehabilitation,https://www.gov.uk/crime-justice-and-law/reoffending-and-rehabilitation
Safeguarding and social care for children,https://www.gov.uk/childcare-parenting/safeguarding-and-social-care-for-children
Veterinary medicines,https://www.gov.uk/environment/keeping-farmed-animals-veterinary-medicines
Piracy off the coast of Somalia,https://www.gov.uk/international/government-topics-foreign-affairs-piracy-off-the-coast-of-somalia
"Good practice, inspections and enforcement",https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-good-practice
"Manufacturing, wholesaling, importing and exporting medicines",https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-manufacturing-wholesaling-importing-exporting-medicines
VAT,https://www.gov.uk/money/vat
Personal tax,https://www.gov.uk/money/personal-tax
Constitutional affairs,https://www.gov.uk/government/constitutional-reform
Regulatory appeals and references,https://www.gov.uk/business/competition-regulatory-appeals-references
Radiation protection,https://www.gov.uk/health-and-social-care/health-protection-radiation
Access to the countryside,https://www.gov.uk/environment/access-to-the-countryside
Northern Ireland community relations,https://www.gov.uk/regional-and-local-government/northern-ireland-community-relations
Freshwater fisheries,https://www.gov.uk/environment/freshwater-fisheries
Capital allowances,https://www.gov.uk/money/capital-allowances
Harmful drinking,https://www.gov.uk/health-and-social-care/harmful-drinking
Northern Ireland security,https://www.gov.uk/regional-and-local-government/northern-ireland-security
Tax compliance,https://www.gov.uk/money/tax-compliance
Further and higher education courses and qualifications,https://www.gov.uk/education/further-and-higher-education-courses-and-qualifications
Common Agricultural Policy reform,https://www.gov.uk/environment/common-agricultural-policy-reform
Species protection and marine conservation,https://www.gov.uk/environment/species-protection-and-marine-conservation
School planning,https://www.gov.uk/education/school-planning
"Professional driving of lorries, buses and coaches",https://www.gov.uk/transport/professional-driving-of-lorries-buses-and-coaches
Land registration,https://www.gov.uk/housing-local-and-community/land-registration
Software development for HMRC,https://www.gov.uk/money/dealing-with-hmrc-software-development
Safeguarding and child protection,https://www.gov.uk/childcare-parenting/safeguarding-child-protection
Animal research and testing,https://www.gov.uk/business-and-industry/animal-research-and-testing
Gambling duties,https://www.gov.uk/money/dealing-with-hmrc-paying-hmrc-gambling-duties
"Health, safety and wellbeing in schools",https://www.gov.uk/education/health-safety-and-wellbeing-in-schools
Becoming an intern or trainee,https://www.gov.uk/education/becoming-an-intern-or-trainee
Public service vehicles licensing,https://www.gov.uk/transport/public-service-vehicles-licensing
Drink and drug driving,https://www.gov.uk/transport/drink-and-drug-driving
Road transport and the environment,https://www.gov.uk/transport/road-transport-and-the-environment
Living and working abroad,https://www.gov.uk/money/personal-tax-living-working-abroad-offshore-living-and-working-abroad
Regional growth fund,https://www.gov.uk/business-and-industry/regional-growth-fund
"Adoption, fostering and surrogacy",https://www.gov.uk/childcare-parenting/adoption-fostering-and-surrogacy
Finding childcare,https://www.gov.uk/childcare-parenting/finding-childcare
Income Tax,https://www.gov.uk/money/income-tax
Community interest companies,https://www.gov.uk/business-and-industry/community-interest-companies
Health protection,https://www.gov.uk/health-and-social-care/health-protection
"Student grants, bursaries and scholarships",https://www.gov.uk/education/student-grants-bursaries-scholarships
School procurement,https://www.gov.uk/education/school-procurement
Energy security,https://www.gov.uk/environment/climate-change-energy-energy-security
Corporate and operational information (transport),https://www.gov.uk/transport/corporate-and-operational-information-transport
Rail safety and security,https://www.gov.uk/transport/rail-safety-and-security
"Certificates, register offices, changes of name or gender",https://www.gov.uk/life-circumstances/register-offices
Import and export of farmed animals,https://www.gov.uk/environment/keeping-farmed-animals-import-export
Transport accessibility and mobility,https://www.gov.uk/transport/transport-accessibility-and-mobility
"Secondary curriculum, key stage 3 and key stage 4 (GCSEs)",https://www.gov.uk/education/secondary-curriculum-key-stage-3-and-key-stage-4-gcses
Rural grants and payments,https://www.gov.uk/environment/farming-food-grants-payments-rural-grants-payments
Heating and housing benefits,https://www.gov.uk/welfare/heating
Fundraising,https://www.gov.uk/business-and-industry/running-charity-fundraising
Aviation and the environment,https://www.gov.uk/transport/aviation-and-the-environment
Humanitarian emergencies,https://www.gov.uk/international/humanitarian-emergencies
Afghanistan,https://www.gov.uk/international/afghanistan
Social investment,https://www.gov.uk/society-and-culture/social-investment
Health surveillance and reporting programmes,https://www.gov.uk/health-and-social-care/health-protection-services-health-surveillance-and-reporting-programmes
"Charity money, tax and accounts",https://www.gov.uk/business-and-industry/running-charity-money-accounts
Energy and climate change: evidence and analysis,https://www.gov.uk/environment/energy-and-climate-change-evidence-and-analysis
Herbal and homeopathic medicines,https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-herbal-homeopathic-medicines
Byelaws,https://www.gov.uk/crime-justice-and-law/byelaws
Bovine tuberculosis (bovine TB),https://www.gov.uk/environment/bovine-tuberculosis
Rural development and land management,https://www.gov.uk/environment/rural-development-land-management
Cyber security,https://www.gov.uk/government/cyber-security
"Land registration searches, fees and forms",https://www.gov.uk/housing-local-and-community/land-registration-searches-fees-forms
Mental health,https://www.gov.uk/health-and-social-care/mental-health
Chemicals,https://www.gov.uk/environment/chemicals
Fisheries funding,https://www.gov.uk/environment/fisheries-funding
Road maintenance,https://www.gov.uk/transport/road-maintenance
Blood regulation and safety,https://www.gov.uk/health-and-social-care/medicines-medical-devices-blood-blood-regulation-safety
Localism,https://www.gov.uk/regional-and-local-government/localism
Sending a child to school,https://www.gov.uk/education/sending-a-child-to-school
School governance,https://www.gov.uk/education/school-governance
Air passenger duty,https://www.gov.uk/transport/air-passenger-duty
Capital Gains Tax,https://www.gov.uk/money/dealing-with-hmrc-paying-hmrc-capital-gains-tax
European Union laws and regulation,https://www.gov.uk/government/european-union-laws-and-regulation-2
Sexual violence in conflict,https://www.gov.uk/international/sexual-violence-in-conflict
Setting up or changing the status of a school,https://www.gov.uk/education/setting-up-or-changing-the-status-of-a-school
Cattle deaths,https://www.gov.uk/environment/keeping-farmed-animals-cattle-deaths
Pupil performance in schools,https://www.gov.uk/education/pupil-performance-in-schools
Recruiting and managing non-teaching school staff,https://www.gov.uk/education/recruiting-and-managing-non-teaching-school-staff
Climate change international action,https://www.gov.uk/environment/climate-change-international-action
Public sector land use,https://www.gov.uk/government/public-sector-land-use
Planning system,https://www.gov.uk/housing-local-and-community/planning-system
Special educational needs and disability (SEND) and high needs,https://www.gov.uk/education/special-educational-needs-and-disability-send-and-high-needs
Financial services regulation,https://www.gov.uk/business/financial-services-regulation
Childcare and early years,https://www.gov.uk/childcare-parenting/childcare-and-early-years
Deficit reduction,https://www.gov.uk/government/deficit-reduction
House building,https://www.gov.uk/housing-local-and-community/house-building
Legislative process,https://www.gov.uk/government/legislative-process-2
Child maintenance,https://www.gov.uk/childcare-parenting/child-maintenance
Disability rights,https://www.gov.uk/health-and-social-care/disabilities-rights
Teacher training and professional development,https://www.gov.uk/education/teacher-training-and-professional-development
Conflict in fragile states,https://www.gov.uk/international/government-topics-foreign-affairs-conflict-in-fragile-states
Air Passenger Duty,https://www.gov.uk/money/air-passenger-duty
Trade unions,https://www.gov.uk/work/trade-unions
Reporting disease and disease outbreaks,https://www.gov.uk/environment/preventing-and-reporting-disease
Transport businesses and vehicle operator licences,https://www.gov.uk/transport/transport-businesses-and-vehicle-operator-licences
Statutory rights,https://www.gov.uk/crime-justice-and-law/statutory-rights
Trade marks,https://www.gov.uk/crime-justice-and-law/intellectual-property-law-practice-trade-marks
Rural development,https://www.gov.uk/environment/farming-food-grants-payments-rural-grants-payments-rural-development
Stamp duty and other tax on property,https://www.gov.uk/money/stamp-taxes
"Company closure, administration, liquidation and insolvency",https://www.gov.uk/business-and-industry/company-closure-administration-liquidation-and-insolvency
Rules for particular trades,https://www.gov.uk/money/business-tax-vat-rules-for-particular-trades
"Apprenticeships, traineeships and internships",https://www.gov.uk/education/apprenticeships-traineeships-and-internships
Climate change impact in developing countries,https://www.gov.uk/international/climate-change-impact-in-developing-countries
Cancer research and treatment,https://www.gov.uk/health-and-social-care/cancer-research-and-treatment
Alcohol duties,https://www.gov.uk/money/dealing-with-hmrc-paying-hmrc-alcohol-duties
Corporation Tax,https://www.gov.uk/money/corporation-tax
Product safety,https://www.gov.uk/business-and-industry/product-safety
Landfill Tax,https://www.gov.uk/money/landfill-tax
High streets and town centres,https://www.gov.uk/housing-local-and-community/high-streets-and-town-centres
Fuel Duty,https://www.gov.uk/money/fuel-duty
Long term health conditions,https://www.gov.uk/health-and-social-care/long-term-health-conditions
Education of disadvantaged children,https://www.gov.uk/education/education-of-disadvantaged-children
Energy efficiency,https://www.gov.uk/environment/climate-change-energy-energy-efficiency
Capital Gains Tax,https://www.gov.uk/money/capital-gains-tax
Data protection,https://www.gov.uk/crime-justice-and-law/data-protection
Marine licences,https://www.gov.uk/environment/marine-licences
