taxon_name,taxon_link
Community and society,https://www.gov.uk/society-and-culture/community-and-society
Sports and leisure,https://www.gov.uk/society-and-culture/sports-and-leisure
Business and industry,https://www.gov.uk/business-and-industry
Safety and the environment in your community,https://www.gov.uk/housing-local-and-community/housing-local-services-safety-environment
Arts and culture,https://www.gov.uk/society-and-culture/arts-and-culture
Defence and armed forces,https://www.gov.uk/defence-and-armed-forces
"Equality, rights and citizenship",https://www.gov.uk/society-and-culture/equality-rights-and-citizenship
National security,https://www.gov.uk/government/national-security
"Emergency preparation, response and recovery",https://www.gov.uk/government/emergency-preparation-reponse-and-recovery
Wales,https://www.gov.uk/regional-and-local-government/wales
Food and farming,https://www.gov.uk/environment/food-and-farming
Government,https://www.gov.uk/government/all
Your rights and the law,https://www.gov.uk/crime-justice-and-law/rights
Media and communications,https://www.gov.uk/business-and-industry/media-and-communications
International aid and development,https://www.gov.uk/international/international-aid-and-development
Democracy,https://www.gov.uk/government/democracy
Scotland,https://www.gov.uk/regional-and-local-government/scotland
UK economy,https://www.gov.uk/business-and-industry/uk-economy
International,https://www.gov.uk/international
Consumer rights and issues,https://www.gov.uk/business-and-industry/consumer-rights-and-issues
British nationals overseas,https://www.gov.uk/going-and-being-abroad/british-nationals-overseas
"Wildlife, animals, biodiversity and ecosystems",https://www.gov.uk/environment/wildlife-animals-biodiversity-and-ecosystems
"Working, jobs and pensions",https://www.gov.uk/employment/working
Trade and investment,https://www.gov.uk/business-and-industry/trade-and-investment
Society and culture,https://www.gov.uk/society-and-culture
Community integration,https://www.gov.uk/society-and-culture/community-integration
Going and being abroad,https://www.gov.uk/going-and-being-abroad
Money,https://www.gov.uk/money
Local councils and services,https://www.gov.uk/regional-and-local-government/local-councils
Northern Ireland,https://www.gov.uk/regional-and-local-government/northern-ireland
Corporate information,https://www.gov.uk/corporate-information
Counter-terrorism,https://www.gov.uk/crime-justice-and-law/counter-terrorism
Regional and local government,https://www.gov.uk/regional-and-local-government
Life circumstances,https://www.gov.uk/life-circumstances
Science and innovation,https://www.gov.uk/business-and-industry/science-and-innovation
"Charities, volunteering and honours",https://www.gov.uk/society-and-culture/charities-honours
"Marriage, civil partnership and divorce",https://www.gov.uk/life-circumstances/marriage-divorce
Business licensing,https://www.gov.uk/business-and-industry/business-licensing
Waste management,https://www.gov.uk/environment/waste-management
Sale of goods and services and data protection,https://www.gov.uk/business-and-industry/sale-goods-services-data
"Crime, justice and law",https://www.gov.uk/crime-justice-and-law
Welfare,https://www.gov.uk/welfare
Digital inclusion and accessibility,https://www.gov.uk/society-and-culture/digital-inclusion-and-accessibility
Climate change and energy,https://www.gov.uk/environment/climate-change-energy
"Business auditing, accounting and reporting",https://www.gov.uk/business-and-industry/business-auditing-accounting-reporting
Food and farming industry,https://www.gov.uk/environment/food-and-farming-industry
Media and creative industries,https://www.gov.uk/business-and-industry/media-and-creative-industries
"Military recruitment, training and operations",https://www.gov.uk/defence/military-recruitment-training-operations
Work,https://www.gov.uk/work
Crime prevention,https://www.gov.uk/crime-justice-and-law/crime-prevention
Rules for specific goods and services,https://www.gov.uk/business/business-tax-import-export-rules-for-specific-goods-and-services
Equality,https://www.gov.uk/society-and-culture/equality
Public services,https://www.gov.uk/government/public-services
Housing,https://www.gov.uk/housing-local-and-community/housing
"Cattle identification, registration and movements",https://www.gov.uk/environment/cattle-identification-registration-movements
Conservation of historic buildings and monuments,https://www.gov.uk/society-and-culture/conservation-of-historic-buildings-and-monuments
Consumer protection,https://www.gov.uk/business/consumer-protection
Elite sports performance,https://www.gov.uk/society-and-culture/elite-sports-performance
Border control,https://www.gov.uk/entering-staying-uk/border-control
National events and ceremonies,https://www.gov.uk/society-and-culture/national-events-and-ceremonies
Museums and galleries,https://www.gov.uk/society-and-culture/museums-and-galleries
UK Trade Tariff and classification of goods,https://www.gov.uk/business/business-tax-import-export-uk-trade-tariff-and-classification-of-goods
Animal and plant health,https://www.gov.uk/environment/animal-and-plant-health
Rural and countryside,https://www.gov.uk/environment/rural-and-countryside
Governance in developing countries,https://www.gov.uk/international/governance-in-developing-countries
Public health,https://www.gov.uk/health-and-social-care/public-health
"Education, training and skills",https://www.gov.uk/education
