level0,level1,level2,level3,level4,level5
GOV.UK homepage,"Parenting, childcare and children's services",Children's health and welfare,Children's health,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Children's health and welfare,Children's rights,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Children's health and welfare,Help for children with a long-term illness or disability,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Children's health and welfare,Mental health of children and young people,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Children's health and welfare,Support for children with special educational needs and disabilities (SEND),NA,NA
GOV.UK homepage,"Parenting, childcare and children's services","Divorce, separation and legal issues",Child custody,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services","Divorce, separation and legal issues",Child maintenance,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services","Divorce, separation and legal issues",Disagreements about parentage,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Child benefit,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Financial help if you have a disabled child,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Financial help if you're a student with children,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Financial help when having a baby,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Financial support for childcare,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Savings accounts for children,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Financial help if you have children,Tax credits if you have children,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Pregnancy and birth,Register the birth of a child,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Pregnancy and birth,Working and time off when you're having a baby,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Child and family social work,NA,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Becoming a children's social care provider,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Inspection of children's social care providers,Children's homes and other residential care inspections
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Inspection of children's social care providers,"Incidents, concerns and feedback about children's social care providers"
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Inspection of children's social care providers,Inspections of fostering and adoption agencies
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Inspection of children's social care providers,Inspections of local authority children's services
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Children's social care providers,Social care provider complaints,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Looked-after children and children in care,Children and young people leaving care,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Looked-after children and children in care,Children's homes and other accommodation,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Looked-after children and children in care,Data collection for looked-after children,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Looked-after children and children in care,"Health, wellbeing and education of looked-after children",NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Safeguarding and child protection,Child abduction and cross-border child protection,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Safeguarding and child protection,Data collection for safeguarding and child protection,NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Safeguarding and child protection,"Preventing neglect, abuse and exploitation",NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Safeguarding and child protection,"Refugee, runaway and homeless children",NA
GOV.UK homepage,"Parenting, childcare and children's services",Safeguarding and social care for children,Safeguarding and child protection,Serious case reviews,NA
GOV.UK homepage,"Parenting, childcare and children's services",Youth employment and social issues,NA,NA,NA
GOV.UK homepage,Regional and local government,Devolution,NA,NA,NA
GOV.UK homepage,Regional and local government,Local councils and services,NA,NA,NA
GOV.UK homepage,Regional and local government,Local government,Business rates,"Relief, refunds and rebates",NA
GOV.UK homepage,Regional and local government,Local government,Business rates,Submit your rent or lease details,NA
GOV.UK homepage,Regional and local government,Local government,Business rates,Your rateable value,NA
GOV.UK homepage,Regional and local government,Local government,Council Tax,Appeals and reductions,NA
GOV.UK homepage,Regional and local government,Local government,Council Tax,Council Tax bands,NA
GOV.UK homepage,Regional and local government,Local government,Council Tax,Council Tax reform,NA
GOV.UK homepage,Regional and local government,Local government,Council Tax,Renting,NA
GOV.UK homepage,Regional and local government,Local government,Councils and elections,NA,NA
GOV.UK homepage,Regional and local government,Local government,Data collection and reporting,NA,NA
GOV.UK homepage,Regional and local government,Local government,Local government finance and capital assets,NA,NA
GOV.UK homepage,Regional and local government,Local government,Local government pensions,NA,NA
GOV.UK homepage,Regional and local government,Local government,Local Housing Allowance,NA,NA
GOV.UK homepage,Regional and local government,Local government spending,NA,NA,NA
GOV.UK homepage,Regional and local government,Localism,NA,NA,NA
GOV.UK homepage,Regional and local government,Northern Ireland,Northern Ireland community relations,NA,NA
GOV.UK homepage,Regional and local government,Northern Ireland,Northern Ireland economy,NA,NA
GOV.UK homepage,Regional and local government,Northern Ireland,Northern Ireland political stability,NA,NA
GOV.UK homepage,Regional and local government,Northern Ireland,Northern Ireland security,NA,NA
GOV.UK homepage,Regional and local government,Scotland,Scottish constitution,NA,NA
GOV.UK homepage,Regional and local government,Scotland,Scottish devolution,NA,NA
GOV.UK homepage,Regional and local government,Wales,Economic growth in Wales,NA,NA
GOV.UK homepage,Regional and local government,Wales,Welsh devolution,NA,NA
GOV.UK homepage,Society and culture,Arts and culture,Conservation of historic buildings and monuments,NA,NA
GOV.UK homepage,Society and culture,Arts and culture,Library services,NA,NA
GOV.UK homepage,Society and culture,Arts and culture,Museums and galleries,NA,NA
GOV.UK homepage,Society and culture,British citizenship,NA,NA,NA
GOV.UK homepage,Society and culture,"Charities, volunteering and honours",NA,NA,NA
GOV.UK homepage,Society and culture,Community and society,Community integration,NA,NA
GOV.UK homepage,Society and culture,Community and society,National Lottery funding,NA,NA
GOV.UK homepage,Society and culture,Community and society,Social action,NA,NA
GOV.UK homepage,Society and culture,Community and society,Social investment,NA,NA
GOV.UK homepage,Society and culture,Digital inclusion and accessibility,NA,NA,NA
GOV.UK homepage,Society and culture,"Equality, rights and citizenship",Equality,NA,NA
GOV.UK homepage,Society and culture,"Equality, rights and citizenship",Poverty and social justice,NA,NA
GOV.UK homepage,Society and culture,"Equality, rights and citizenship",Social mobility,NA,NA
GOV.UK homepage,Society and culture,Loneliness,NA,NA,NA
GOV.UK homepage,Society and culture,National events and ceremonies,NA,NA,NA
GOV.UK homepage,Society and culture,Sports and leisure,2012 Olympic and Paralympic legacy,NA,NA
GOV.UK homepage,Society and culture,Sports and leisure,Community amateur sports clubs (CASCs),NA,NA
GOV.UK homepage,Society and culture,Sports and leisure,Elite sports performance,NA,NA
GOV.UK homepage,Society and culture,Sports and leisure,Recreation,NA,NA
GOV.UK homepage,Society and culture,Sports and leisure,Sports participation,NA,NA
GOV.UK homepage,Society and culture,Tourism,NA,NA,NA
GOV.UK homepage,Society and culture,Young people,NA,NA,NA
GOV.UK homepage,Transport,Aviation,Air accidents and serious incidents,NA,NA
GOV.UK homepage,Transport,Aviation,Air navigation,NA,NA
GOV.UK homepage,Transport,Aviation,Air passenger duty,NA,NA
GOV.UK homepage,Transport,Aviation,Air routes,NA,NA
GOV.UK homepage,Transport,Aviation,Airport capacity and expansion,NA,NA
GOV.UK homepage,Transport,Aviation,Aviation and Europe,NA,NA
GOV.UK homepage,Transport,Aviation,Aviation and the environment,NA,NA
GOV.UK homepage,Transport,Aviation,Aviation passenger experience,NA,NA
GOV.UK homepage,Transport,Aviation,Aviation safety and security,NA,NA
GOV.UK homepage,Transport,Aviation,General aviation,NA,NA
GOV.UK homepage,Transport,Aviation,New aviation technology,Drones,NA
GOV.UK homepage,Transport,Aviation,New aviation technology,Spaceflight,NA
GOV.UK homepage,Transport,Aviation,Night flights,NA,NA
GOV.UK homepage,Transport,Aviation,Surface access to airports,NA,NA
GOV.UK homepage,Transport,Careers in transport,NA,NA,NA
GOV.UK homepage,Transport,Corporate and operational information (transport),NA,NA,NA
GOV.UK homepage,Transport,Driving and road transport,Autonomous road vehicles,NA,NA
GOV.UK homepage,Transport,Driving and road transport,Cycling and walking,NA,NA
GOV.UK homepage,Transport,Driving and road transport,Driving and motorcycle tests,Car driving tests,NA
GOV.UK homepage,Transport,Driving and road transport,Driving and motorcycle tests,"Lorry, bus, coach and specialist vehicle driving tests",NA
GOV.UK homepage,Transport,Driving and road transport,Driving and motorcycle tests,Motorcycle and moped tests,NA
GOV.UK homepage,Transport,Driving and road transport,Driving and motorcycle tests,Motorcycle training,NA
GOV.UK homepage,Transport,Driving and road transport,Driving and motorcycle tests,Theory tests,NA
GOV.UK homepage,Transport,Driving and road transport,Driving instruction and driving lessons,Driving examination,NA
GOV.UK homepage,Transport,Driving and road transport,Driving instruction and driving lessons,Driving instructor registration and renewals,NA
GOV.UK homepage,Transport,Driving and road transport,Driving instruction and driving lessons,"Driving, motorcycle and LGV instructor qualification process",NA
GOV.UK homepage,Transport,Driving and road transport,Driving instruction and driving lessons,Professional development for driving and motorcycle instructors,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Driving abroad,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Driving licence applications and renewals,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Driving licence categories,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Driving licences and medical conditions,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Foreign driving licences,NA
GOV.UK homepage,Transport,Driving and road transport,Driving licences,Personal driving licence information,NA
GOV.UK homepage,Transport,Driving and road transport,"Professional driving of lorries, buses and coaches",Driver CPC training,NA
GOV.UK homepage,Transport,Driving and road transport,"Professional driving of lorries, buses and coaches",EU and international driving rules,NA
GOV.UK homepage,Transport,Driving and road transport,"Professional driving of lorries, buses and coaches",Tachographs,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Drink and drug driving,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Drivers' hours,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Driving and medical conditions,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Driving and mobile phones,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties","Penalty points, fines and driving bans",NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Road accidents and serious accidents,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Seat belts,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Speeding,NA
GOV.UK homepage,Transport,Driving and road transport,"Road safety, driving rules and penalties",Towing,NA
GOV.UK homepage,Transport,Driving and road transport,Road traffic,NA,NA
GOV.UK homepage,Transport,Driving and road transport,Road transport and the environment,Low emission and electric vehicles,NA
GOV.UK homepage,Transport,Driving and road transport,Road transport and the environment,Renewable fuels,NA
GOV.UK homepage,Transport,Driving and road transport,Road transport and the environment,Road transport emissions,NA
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Driver CPC training centres,NA
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Employing drivers,NA
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Fleet management,NA
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Vehicle operator licences,HGV and goods carriage vehicle licensing
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Vehicle operator licences,Public service vehicles licensing
GOV.UK homepage,Transport,Driving and road transport,Transport businesses and vehicle operator licences,Vehicle operator licences,Taxi and private hire vehicle licensing
GOV.UK homepage,Transport,Driving and road transport,Vans and minibuses,NA,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards","Buying, selling, registering and scrapping a vehicle",NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Driver and vehicle record,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",HGV standards and checks,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",MOTs,"Car, motorcycle and van MOT tests"
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",MOTs,"Lorry, bus and trailer MOT tests"
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",PSV standards and checks,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Vehicle import and export,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Vehicle insurance,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Vehicle manufacturing and modification,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Vehicle recalls,NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards","Vehicle registration, log books and number plates",NA
GOV.UK homepage,Transport,Driving and road transport,"Vehicle ownership, approval and standards",Vehicle tax,NA
GOV.UK homepage,Transport,Freight and cargo,Rail freight and cargo,NA,NA
GOV.UK homepage,Transport,Freight and cargo,Road freight,NA,NA
GOV.UK homepage,Transport,Freight and cargo,Transporting abnormal loads,NA,NA
GOV.UK homepage,Transport,Freight and cargo,Transporting dangerous goods,Safe transport of dangerous goods by road and rail,NA
GOV.UK homepage,Transport,Freight and cargo,Transporting dangerous goods,Safe transport of dangerous goods by sea,NA
GOV.UK homepage,Transport,Freight and cargo,Vessel cargo,NA,NA
GOV.UK homepage,Transport,Local transport,Buses,Bus accessibility,NA
GOV.UK homepage,Transport,Local transport,Buses,Bus operators,NA
GOV.UK homepage,Transport,Local transport,Buses,Bus passenger experience,NA
GOV.UK homepage,Transport,Local transport,Buses,"Bus services, routes and timetables",NA
GOV.UK homepage,Transport,Local transport,Buses,Buses and the environment,NA
GOV.UK homepage,Transport,Local transport,Buses,Improvements to buses,NA
GOV.UK homepage,Transport,Local transport,Inland waterways,NA,NA
GOV.UK homepage,Transport,Local transport,Light rail and trams,NA,NA
GOV.UK homepage,Transport,Local transport,Local transport funding,NA,NA
GOV.UK homepage,Transport,Local transport,Travel passes and concessions,NA,NA
GOV.UK homepage,Transport,Local transport,Tube,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Coastguard search and rescue,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Fishing,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime accidents and serious incidents,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime and the environment,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime enforcement and prosecution,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime navigation,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime passenger rights,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime safety,Life saving appliances (LSA),NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime safety,Safe and compliant operation of vessels,NA
GOV.UK homepage,Transport,Maritime and shipping,Maritime security,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,"Ports, harbours and offshore installations",NA,NA
GOV.UK homepage,Transport,Maritime and shipping,"Seafarer management, training and certification",Employment of seafarers,NA
GOV.UK homepage,Transport,Maritime and shipping,"Seafarer management, training and certification",Ship crew health and safety,NA
GOV.UK homepage,Transport,Maritime and shipping,"Seafarer management, training and certification",Ship crew training and certification,NA
GOV.UK homepage,Transport,Maritime and shipping,UK sea passengers,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Vessel registration and design,Ship equipment,NA
GOV.UK homepage,Transport,Maritime and shipping,Vessel registration and design,Vessel design,NA
GOV.UK homepage,Transport,Maritime and shipping,Vessel registration and design,Vessel registration,NA
GOV.UK homepage,Transport,Maritime and shipping,Vessel surveys and inspection,NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Waterways (maritime),NA,NA
GOV.UK homepage,Transport,Maritime and shipping,Wrecks,NA,NA
GOV.UK homepage,Transport,Rail,Community rail,NA,NA
GOV.UK homepage,Transport,Rail,Crossrail,NA,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 additional provisions,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 and the environment,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 archaeology,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 business case,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 construction and engineering,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 corporate,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 costs,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 design,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 legislation,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 Phase One,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 Phase Two,HS2 Phase 2a
GOV.UK homepage,Transport,Rail,HS2,HS2 Phase Two,HS2 Phase 2b
GOV.UK homepage,Transport,Rail,HS2,HS2 planning,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 property,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 stakeholder and community engagement,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 stations,NA
GOV.UK homepage,Transport,Rail,HS2,HS2 supply chain,NA
GOV.UK homepage,Transport,Rail,Rail accessibility,NA,NA
GOV.UK homepage,Transport,Rail,Rail accidents and serious incidents,NA,NA
GOV.UK homepage,Transport,Rail,Rail franchising,Rail franchise procurement,NA
GOV.UK homepage,Transport,Rail,Rail franchising,Rail franchise public register,NA
GOV.UK homepage,Transport,Rail,Rail infrastructure,NA,NA
GOV.UK homepage,Transport,Rail,Rail interoperability,NA,NA
GOV.UK homepage,Transport,Rail,Rail network,NA,NA
GOV.UK homepage,Transport,Rail,Rail network and the environment,NA,NA
GOV.UK homepage,Transport,Rail,Rail passenger experience,NA,NA
GOV.UK homepage,Transport,Rail,Rail safety and security,NA,NA
GOV.UK homepage,Transport,Rail,Rail stations,NA,NA
GOV.UK homepage,Transport,Rail,Rail ticketing and fares,NA,NA
GOV.UK homepage,Transport,Rail,Rolling stock (passenger trains),NA,NA
GOV.UK homepage,Transport,Road infrastructure,Advice for drivers,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Animals on roads,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Parking,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Road improvement and investment,Local roads,NA
GOV.UK homepage,Transport,Road infrastructure,Road improvement and investment,Major roads,NA
GOV.UK homepage,Transport,Road infrastructure,Road improvement and investment,Making roads safer,NA
GOV.UK homepage,Transport,Road infrastructure,Road improvement and investment,Motorways,NA
GOV.UK homepage,Transport,Road infrastructure,Road improvement and investment,Road resurfacing,NA
GOV.UK homepage,Transport,Road infrastructure,Road maintenance,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Road tolls and charges,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Road works and street works,Overnight works,NA
GOV.UK homepage,Transport,Road infrastructure,Road works and street works,Planned roadworks,NA
GOV.UK homepage,Transport,Road infrastructure,Road works and street works,Property affected by roadworks and street works,NA
GOV.UK homepage,Transport,Road infrastructure,Road works and street works,Road closures,NA
GOV.UK homepage,Transport,Road infrastructure,Road works and street works,Weekend closures,NA
GOV.UK homepage,Transport,Road infrastructure,Roads and the environment,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Smart motorways,NA,NA
GOV.UK homepage,Transport,Road infrastructure,Speed limits and traffic cameras,NA,NA
GOV.UK homepage,Transport,Road infrastructure,"Traffic signs, signals and markings",NA,NA
GOV.UK homepage,Transport,Transport accessibility and mobility,Blue badges,NA,NA
GOV.UK homepage,Transport,Transport accessibility and mobility,Help on public transport,NA,NA
GOV.UK homepage,Transport,Transport accessibility and mobility,Mobility scooters and wheelchairs,NA,NA
GOV.UK homepage,Transport,Transport accessibility and mobility,Taxi and private hire accessibility,NA,NA
GOV.UK homepage,Transport,Transport modelling and appraisal,NA,NA,NA
GOV.UK homepage,Transport,Transport planning,NA,NA,NA
GOV.UK homepage,Transport,Transport security,NA,NA,NA
GOV.UK homepage,Welfare,Benefits entitlement,NA,NA,NA
GOV.UK homepage,Welfare,Benefits for families,NA,NA,NA
GOV.UK homepage,Welfare,Carers and disability benefits,NA,NA,NA
GOV.UK homepage,Welfare,Child Benefit,High Income Tax Charge,NA,NA
GOV.UK homepage,Welfare,Child Benefit,Support for families,NA,NA
GOV.UK homepage,Welfare,Child maintenance reform,NA,NA,NA
GOV.UK homepage,Welfare,Death and benefits,NA,NA,NA
GOV.UK homepage,Welfare,Heating and housing benefits,NA,NA,NA
GOV.UK homepage,Welfare,Jobseeker's Allowance and low income benefits,NA,NA,NA
GOV.UK homepage,Welfare,Tax credits,NA,NA,NA
GOV.UK homepage,Welfare,Universal Credit,NA,NA,NA
GOV.UK homepage,Welfare,Welfare reform,NA,NA,NA
GOV.UK homepage,Work,Government graduate schemes,NA,NA,NA
GOV.UK homepage,Work,Health and safety at work,NA,NA,NA
GOV.UK homepage,Work,Health and safety reform,NA,NA,NA
GOV.UK homepage,Work,Labour market reform,NA,NA,NA
GOV.UK homepage,Work,Payroll,NA,NA,NA
GOV.UK homepage,Work,Pensions and ageing society,Automatic enrolment in workplace pensions,NA,NA
GOV.UK homepage,Work,Pensions and ageing society,Older people,NA,NA
GOV.UK homepage,Work,Pensions and ageing society,Public service pensions,NA,NA
GOV.UK homepage,Work,Pensions and ageing society,State Pension age,NA,NA
GOV.UK homepage,Work,Pensions and ageing society,State Pension simplification,NA,NA
GOV.UK homepage,Work,Secondments with government,NA,NA,NA
GOV.UK homepage,Work,Self-employment,Managing expenses,NA,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Alcohol duties,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Capital Gains Tax,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Child Benefit overpayments,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Construction Industry Scheme (through PAYE),NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Corporation Tax,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Gambling duties,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Income Tax and National Insurance,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Inheritance Tax,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Insurance Premium Tax,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Money laundering regulation fees,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,PAYE,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Payment problems,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Pension schemes,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Property taxes,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Shares,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Tax credit overpayments,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,Transport and environmental duties,NA
GOV.UK homepage,Work,Self-employment,Paying HMRC,VAT,NA
GOV.UK homepage,Work,Self-employment,Self Assessment,Filing a tax return,NA
GOV.UK homepage,Work,Self-employment,Self Assessment,Paying your tax bill,NA
GOV.UK homepage,Work,Self-employment,Self Assessment,Records you must keep,NA
GOV.UK homepage,Work,Self-employment,Self Assessment,"Refunds, appeals and penalties",NA
GOV.UK homepage,Work,Self-employment,Self Assessment,Registering for Self Assessment,NA
GOV.UK homepage,Work,Self-employment,Stopping or selling your business,NA,NA
GOV.UK homepage,Work,Self-employment,Tax and National Insurance,NA,NA
GOV.UK homepage,Work,Trade unions,NA,NA,NA
GOV.UK homepage,Work,Work and disabled people,NA,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Contracts and working hours,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Finding a job,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions","Holidays, time off, sick leave, maternity and paternity leave",NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Recruiting and hiring,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions","Redundancies, dismissals and disciplinaries",NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",State Pension,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Workplace and personal pensions,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Workplace bullying and harassment,NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions","Your pay, tax and the National Minimum Wage",NA,NA
GOV.UK homepage,Work,"Working, jobs and pensions",Your rights at work and trade unions,NA,NA
